1000 20
9 6 996
6 15 597
6 29 300
3 41 140
10 45 355
4 55 368
10 56 823
3 73 913
4 89 860
5 117 460
6 135 349
3 140 910
8 161 872
5 179 436
5 183 726
6 205 163
10 212 601
7 228 768
10 238 164
1 253 898
1 254 343
9 257 130
9 267 311
2 270 904
1 288 149
9 338 880
7 388 983
5 389 252
10 395 497
10 398 300
4 407 822
5 438 414
3 447 705
7 458 399
7 459 848
5 471 249
7 472 483
7 480 179
7 486 708
2 487 254
7 491 510
5 499 961
1 502 567
3 557 940
8 559 319
8 560 514
6 567 237
3 577 563
3 579 542
2 580 311
6 592 652
4 601 589
3 615 598
2 627 999
8 633 428
1 634 813
7 641 307
9 647 806
9 649 107
10 653 594
6 671 224
2 685 513
9 729 931
4 737 878
2 762 501
5 772 404
8 773 195
2 779 649
2 791 153
8 798 641
10 800 960
2 811 785
2 828 199
3 838 236
6 879 988
6 883 134
1 889 750
5 908 701
4 922 726
2 926 288
7 930 274
2 936 720
7 937 625
4 952 125
9 958 981
5 978 660
6 985 978
8 987 973
4 1006 154
9 1009 385
8 1011 804
3 1031 857
3 1049 853
7 1076 614
6 1101 693
8 1104 569
5 1105 132
10 1108 781
2 1114 924
5 1118 930
2 1131 616
9 1142 288
5 1149 834
10 1167 831
7 1170 142
8 1177 754
4 1185 906
4 1208 742
4 1216 690
4 1224 960
9 1226 135
9 1239 844
1 1255 968
4 1276 124
3 1278 893
1 1288 242
10 1294 423
1 1298 817
6 1309 840
7 1323 850
4 1343 341
7 1354 741
1 1357 687
6 1358 343
9 1364 528
8 1380 145
10 1395 782
2 1415 864
2 1416 382
1 1417 208
6 1427 100
5 1438 985
4 1442 547
2 1446 739
2 1449 820
10 1458 431
5 1471 732
3 1473 789
6 1494 808
3 1509 759
1 1552 833
2 1553 561
6 1573 718
10 1575 127
9 1628 463
6 1656 914
5 1664 716
7 1669 539
8 1672 701
6 1674 505
4 1689 233
5 1692 424
2 1712 614
8 1716 457
4 1722 672
9 1732 412
3 1736 554
1 1738 581
1 1744 157
1 1745 216
1 1754 771
8 1779 572
10 1792 518
2 1803 492
2 1810 138
3 1815 387
3 1816 151
8 1843 876
4 1854 119
7 1865 311
3 1881 295
2 1882 355
5 1893 451
5 1917 910
8 1922 161
6 1930 486
1 1931 972
9 1959 695
6 1981 543
5 1995 959
6 2014 767
1 2040 637
9 2042 909
2 2057 124
10 2058 625
2 2062 535
1 2064 875
1 2072 348
7 2074 671
4 2102 790
7 2105 684
8 2108 140
3 2119 951
4 2134 200
1 2140 457
2 2141 567
5 2144 496
8 2173 199
2 2183 768
9 2184 988
10 2196 942
5 2220 866
4 2221 416
8 2228 819
1 2230 368
6 2239 557
1 2248 287
1 2255 724
9 2282 454
1 2291 290
9 2309 661
5 2322 268
8 2324 536
2 2328 167
9 2329 849
8 2338 803
10 2342 524
7 2355 298
5 2358 922
7 2367 208
7 2370 874
8 2375 475
5 2380 311
7 2381 232
2 2393 664
8 2410 681
1 2415 809
7 2423 620
3 2438 382
3 2441 407
10 2442 103
7 2449 741
5 2458 749
6 2483 425
5 2484 324
7 2502 796
7 2505 105
2 2509 802
10 2525 253
5 2550 185
7 2565 199
6 2570 283
7 2571 597
3 2581 458
4 2607 755
3 2612 337
5 2616 678
10 2620 328
8 2633 842
7 2634 727
9 2638 314
10 2643 678
4 2646 552
4 2651 669
4 2658 454
4 2662 287
9 2667 625
6 2670 897
9 2676 840
10 2695 764
7 2696 578
5 2713 609
1 2728 569
3 2734 914
5 2738 239
9 2741 165
2 2752 770
3 2774 128
7 2775 301
5 2804 222
7 2823 281
7 2853 609
1 2879 421
6 2888 658
2 2896 369
6 2910 881
8 2914 825
4 2917 648
1 2919 887
9 2928 284
5 2942 745
7 2951 846
5 2967 176
2 2968 578
10 2985 916
6 2987 665
1 3003 339
8 3004 199
2 3006 839
2 3008 717
8 3014 781
5 3017 838
6 3045 330
2 3073 348
1 3077 142
1 3084 315
1 3111 572
8 3113 202
1 3128 400
5 3134 415
4 3138 226
1 3143 706
9 3152 560
4 3160 898
5 3165 360
6 3173 748
4 3181 588
1 3209 490
6 3214 279
1 3222 416
1 3226 487
2 3231 301
1 3251 550
2 3254 546
3 3272 888
9 3275 362
8 3278 359
8 3290 374
7 3292 598
3 3315 597
1 3334 829
1 3350 861
7 3359 777
6 3365 538
5 3367 716
10 3380 697
9 3386 121
5 3392 894
8 3402 734
4 3412 499
10 3418 492
10 3442 509
8 3463 155
10 3472 798
9 3473 234
7 3479 615
2 3480 424
2 3491 298
6 3493 501
10 3505 138
9 3508 107
8 3513 657
7 3521 857
5 3525 568
1 3535 188
3 3547 171
6 3550 902
10 3551 536
1 3571 465
8 3574 329
6 3584 463
4 3586 484
1 3618 320
4 3630 207
4 3632 674
6 3641 699
5 3643 637
7 3649 500
8 3651 596
7 3652 942
4 3657 535
2 3659 931
5 3661 262
8 3663 989
1 3664 528
7 3681 814
2 3703 705
1 3724 535
3 3747 229
3 3749 261
10 3789 334
4 3794 113
7 3801 587
2 3804 883
6 3838 445
10 3847 755
9 3861 403
1 3863 531
9 3892 900
5 3899 530
9 3900 415
1 3911 566
3 3912 783
4 3934 216
3 3935 631
5 3940 338
4 3944 465
1 3946 102
3 3951 162
10 3952 784
9 3958 168
2 3974 358
8 3993 206
7 4001 183
2 4013 883
8 4021 571
8 4022 408
1 4023 630
3 4045 800
9 4076 427
1 4080 745
3 4082 506
8 4088 984
7 4107 416
4 4120 358
7 4135 909
10 4140 833
4 4158 968
6 4181 478
9 4184 937
10 4195 769
7 4201 485
6 4211 394
10 4213 617
5 4226 498
8 4227 183
10 4239 459
8 4241 343
8 4243 440
7 4256 379
6 4270 690
10 4271 489
2 4279 964
7 4280 772
6 4284 983
9 4299 111
7 4300 677
6 4307 878
3 4321 719
5 4332 172
6 4345 960
5 4346 165
10 4350 617
5 4364 971
9 4378 651
2 4399 885
3 4415 386
5 4421 501
2 4440 340
5 4449 507
7 4459 444
2 4460 970
4 4495 648
8 4505 550
6 4517 723
9 4530 468
6 4537 736
3 4551 988
5 4554 604
3 4559 412
8 4572 219
10 4578 285
3 4581 154
3 4583 540
5 4594 102
1 4598 576
9 4600 238
2 4608 214
10 4613 807
9 4617 827
2 4624 712
9 4628 315
3 4645 200
8 4659 533
9 4692 173
8 4694 293
7 4754 826
5 4798 319
8 4802 476
3 4818 128
3 4823 736
1 4824 593
7 4825 772
2 4840 398
6 4842 948
8 4860 145
10 4863 740
10 4865 450
1 4885 230
8 4888 674
7 4931 547
7 4980 129
6 4986 530
2 4997 984
4 5005 995
2 5021 562
9 5023 511
1 5035 511
10 5068 789
5 5077 977
3 5080 400
8 5083 328
3 5098 216
10 5117 104
7 5122 175
3 5133 326
6 5145 127
9 5160 166
10 5166 811
7 5172 458
6 5178 633
5 5180 772
9 5188 277
5 5195 376
6 5204 826
5 5209 825
5 5211 608
9 5212 466
7 5217 208
3 5243 869
7 5246 870
8 5253 256
8 5285 206
6 5287 694
7 5290 925
4 5299 481
1 5301 524
6 5311 243
8 5332 419
5 5337 578
1 5340 411
8 5371 797
4 5388 984
3 5392 284
6 5398 229
9 5403 639
4 5416 842
4 5437 215
9 5439 815
8 5442 382
10 5446 570
1 5447 189
2 5467 776
3 5484 106
3 5490 346
1 5497 883
3 5503 242
1 5525 842
5 5526 194
9 5527 673
6 5552 692
9 5562 810
3 5592 871
4 5609 921
6 5618 197
4 5620 186
9 5621 894
4 5622 439
6 5644 387
8 5649 404
4 5650 649
5 5663 678
5 5680 683
5 5692 141
9 5693 960
5 5695 936
3 5706 635
7 5709 715
9 5714 651
7 5721 659
7 5736 468
6 5740 872
4 5745 109
9 5752 754
1 5759 983
10 5763 630
8 5771 688
4 5777 758
10 5787 697
8 5791 778
10 5815 508
5 5845 774
3 5863 219
6 5865 349
8 5870 152
5 5890 141
7 5901 903
8 5904 291
5 5919 540
3 5938 121
3 5948 648
3 5957 409
9 5959 745
5 5960 582
6 5964 752
1 5970 601
9 5981 395
8 6022 460
3 6034 987
5 6042 921
1 6043 292
1 6044 513
9 6046 102
4 6048 933
6 6049 767
9 6073 597
10 6085 156
6 6093 954
10 6100 154
9 6111 274
6 6116 957
