45135 11283
7829 366 27691221
9732 418 35481124
6936 726 40901766
5936 1003 67986099
5378 1277 77901818
1664 2004 47870055
2004 2279 58208109
7146 2449 87894306
4949 3798 70669274
6630 4027 2929409
3082 4259 77489233
1095 4549 32017248
3412 4713 77906373
2295 4780 70347302
6654 4816 43459679
5570 4995 69574327
5889 5218 12667977
1089 5287 81655316
3778 5313 94001720
8053 6330 52302097
1147 6594 26646927
8260 6635 18181415
7414 6712 10719363
9717 6841 72245806
284 6869 73421338
9196 6904 31101751
2239 6958 12726640
2749 7164 28857258
8366 7182 65142594
8206 7279 5801508
5943 7537 7398220
9268 7555 68125223
9103 7590 23135728
6113 7780 22485223
1407 7817 65246227
1221 7913 49870031
2346 8185 80486816
7200 8644 71725513
4331 8956 49186419
6469 9216 65154283
9558 9223 92393382
6012 9791 99206304
1979 9973 2598591
7335 10168 29049543
7851 10381 48229169
7593 11029 2630741
3251 11561 6732202
6445 11966 22907157
8658 12688 35804061
1555 12744 62849473
8489 12787 49244863
6236 13003 95026299
545 13196 77214355
3164 13239 8404049
6830 13519 30358021
1833 14159 25524853
9507 14166 43780053
3534 14274 79109745
6937 14315 80757502
4924 14557 84018551
4879 14925 53041355
1148 15253 25811065
7977 15802 47918817
2089 15979 74668862
5342 16051 22868394
7846 17264 60545157
4379 17297 92224976
6443 17382 30731172
3861 17548 39445064
2510 17814 70808645
6242 17972 13730242
965 18077 92211509
6968 18113 27212489
9846 18379 58573403
3359 18619 43458734
5221 18682 95948846
2969 19231 59117061
4077 19366 7864892
2672 19963 8865398
897 20434 77656897
2314 20889 65025766
8369 20973 89752922
2331 21193 89355233
8315 21385 26997550
9721 21547 19741090
9820 21568 57994440
9141 21663 73260776
5751 22530 76743862
9349 22532 39263575
4513 22766 83761749
5337 23622 1995141
1951 23740 49518838
7375 23971 36136227
5375 23980 2606675
8439 24403 4648033
6504 24432 5787494
203 24578 69744083
1142 24620 3059640
3767 24711 78626116
3986 24933 6870576
5205 25034 50899873
2062 25058 67108767
1946 25230 23519473
5249 25724 75538759
1043 26129 59900215
1089 26610 88300739
5233 27300 33580122
2641 27328 84794661
804 27456 16871132
3539 27502 64754084
257 27600 19745397
8255 28024 90954293
1762 28033 43520630
169 28151 63024365
2581 28567 72163170
219 28632 48669101
2276 28647 37876627
479 29448 8553319
8565 29699 48888969
9770 29702 74487181
6453 29822 39506406
6539 29996 6100756
2368 30135 7212475
8852 30725 96816089
5405 30821 34131085
2048 30899 62345963
1821 30989 2930896
7911 31123 7853448
2566 31218 20480347
831 31257 34444986
9016 31373 65213638
7331 31585 6981498
2337 31766 8958170
9745 31824 73481506
8391 31909 79384476
7253 31914 68706622
633 31939 22864253
2910 32178 29314525
9167 32253 1380171
8618 32498 10252111
2441 32522 80081223
4698 33008 3532786
2969 33163 88229973
9669 33612 59200072
5408 33739 27916001
912 33779 85946658
3582 33985 6989166
8298 34391 51631888
7925 34439 67209776
4911 35033 98150252
1818 35100 7791728
1207 35111 57107037
9787 35848 57036139
6658 36110 94465421
4874 36113 27812156
6668 36155 26262985
8762 36277 63626870
9799 36357 31785306
4241 36728 37261054
1324 37038 60075878
5445 37654 94699756
6809 37731 73433042
9597 37967 62670385
448 38272 45611426
7424 38875 97459415
1243 39314 12445938
8023 39537 84451885
990 39688 13508107
5070 39755 27743659
905 40116 25738771
